key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
2015-02-01 00:43:48.0000007,9.5,2015-02-01 00:43:48+00:00,-74.0032501220703,40.723491668701165,-74.00289154052734,40.74391555786133,1
2015-02-01 01:14:33.0000004,21.5,2015-02-01 01:14:33+00:00,0.0,0.0,0.0,0.0,2
2015-02-01 02:06:59.0000003,6.0,2015-02-01 02:06:59+00:00,-74.00798034667967,40.74031066894531,-73.99617004394531,40.738094329833984,1
2015-02-01 02:25:02.0000001,7.5,2015-02-01 02:25:02+00:00,-73.99177551269531,40.72618865966797,-73.98765563964845,40.73920440673828,5
2015-02-01 02:53:50.0000002,5.0,2015-02-01 02:53:50+00:00,-73.95357513427734,40.77108383178711,-73.94456481933594,40.779800415039055,1
2015-02-01 03:33:30.0000003,12.0,2015-02-01 03:33:30+00:00,-73.9932632446289,40.724433898925774,-73.97000122070312,40.7566032409668,6
2015-02-01 04:08:46.0000002,7.5,2015-02-01 04:08:46+00:00,0.0,0.0,-73.99339294433594,40.74325942993164,3
2015-02-01 04:59:34.0000001,12.5,2015-02-01 04:59:34+00:00,-74.0061798095703,40.74384307861328,-73.96775817871094,40.76118087768555,1
2015-02-01 06:01:48.0000003,5.5,2015-02-01 06:01:48+00:00,-74.0041732788086,40.7209358215332,-74.00630187988281,40.73313522338867,1
2015-02-01 08:46:57.0000002,6.5,2015-02-01 08:46:57+00:00,-73.97245025634764,40.74934005737305,-73.98844146728516,40.75183868408203,6
2015-02-01 09:04:47.0000002,7.0,2015-02-01 09:04:47+00:00,-73.97924041748048,40.77181243896485,-73.9625701904297,40.76691055297852,1
2015-02-01 09:23:48.0000002,10.0,2015-02-01 09:23:48+00:00,-73.95612335205078,40.775703430175774,-73.9822006225586,40.778911590576165,1
2015-02-01 09:52:33.0000003,5.5,2015-02-01 09:52:33+00:00,-73.96674346923827,40.77218627929688,-73.956787109375,40.77484893798828,5
2015-02-01 10:07:03.0000003,5.5,2015-02-01 10:07:03+00:00,-73.85639190673827,40.97035598754882,-73.81202697753906,41.05753707885742,5
2015-02-01 11:05:47.0000004,6.5,2015-02-01 11:05:47+00:00,-73.96556854248048,40.76576614379882,-73.97496032714845,40.75104904174805,5
2015-02-01 11:17:14.0000003,7.0,2015-02-01 11:17:14+00:00,-73.96965026855469,40.76262664794922,-73.96060180664062,40.77845764160156,2
2015-02-01 12:05:52.0000003,10.5,2015-02-01 12:05:52+00:00,-74.01702117919923,40.708927154541016,-73.99826049804686,40.722599029541016,1
2015-02-01 13:39:39.0000008,9.5,2015-02-01 13:39:39+00:00,-73.9490737915039,40.781532287597656,-73.96913146972656,40.765937805175774,1
2015-02-01 14:25:45.0000002,8.5,2015-02-01 14:25:45+00:00,-73.97777557373048,40.76367950439453,-73.99137115478516,40.74979782104492,1
2015-02-01 15:02:08.0000001,17.0,2015-02-01 15:02:08+00:00,-73.95904541015625,40.76331329345703,-74.00370788574217,40.71090316772461,2
2015-02-01 15:52:38.0000004,10.0,2015-02-01 15:52:38+00:00,-73.98590087890625,40.72677993774414,-73.97709655761719,40.75225067138672,5
2015-02-01 16:22:19.0000005,3.5,2015-02-01 16:22:19+00:00,-73.9868392944336,40.76829528808594,-73.98240661621094,40.76777267456056,1
2015-02-01 16:49:16.0000003,10.0,2015-02-01 16:49:16+00:00,-73.98466491699219,40.760566711425774,-73.95587158203125,40.767852783203125,2
2015-02-01 17:24:59.0000004,5.0,2015-02-01 17:24:59+00:00,-73.98371124267578,40.74961853027344,-73.99261474609375,40.74286651611328,1
2015-02-01 17:56:07.00000010,11.0,2015-02-01 17:56:07+00:00,-74.01280212402342,40.70264434814453,-73.97990417480467,40.717681884765625,1
2015-02-01 18:15:24.0000004,7.0,2015-02-01 18:15:24+00:00,-73.9603500366211,40.7728385925293,-73.97850799560547,40.773147583007805,1
2015-02-01 19:51:42.0000002,7.0,2015-02-01 19:51:42+00:00,-73.96212005615233,40.79541015625,-73.95537567138672,40.782913208007805,3
2015-02-01 20:45:10.0000009,10.0,2015-02-01 20:45:10+00:00,-73.98201751708984,40.77017211914063,-73.98204803466798,40.74596786499024,1
2015-02-01 20:54:05.0000002,33.0,2015-02-01 20:54:05+00:00,-73.86276245117188,40.76901626586913,-73.97801971435547,40.6827278137207,1
2015-02-01 21:02:12.0000002,10.0,2015-02-01 21:02:12+00:00,-73.98895263671875,40.74432373046875,-73.96614837646483,40.773075103759766,1
2015-02-01 21:23:36.0000004,11.0,2015-02-01 21:23:36+00:00,-73.9976806640625,40.75670623779297,-73.96675872802734,40.7959442138672,2
2015-02-01 22:25:36.0000001,6.5,2015-02-01 22:25:36+00:00,-73.99266052246092,40.74266815185546,-73.98080444335938,40.75928115844727,1
2015-02-01 22:27:45.0000004,26.0,2015-02-01 22:27:45+00:00,-73.97083282470702,40.7890510559082,-73.88961029052734,40.749168395996094,1
2015-02-01 22:45:58.0000004,7.5,2015-02-01 22:45:58+00:00,-73.99118041992188,40.76555252075195,-73.96926879882812,40.76392364501953,2
2015-02-01 23:05:36.0000007,4.5,2015-02-01 23:05:36+00:00,-73.98782348632812,40.759952545166016,-73.98621368408203,40.76744079589844,1
2015-02-01 23:10:41.0000006,5.0,2015-02-01 23:10:41+00:00,-73.92035675048828,40.74517822265625,-73.9211196899414,40.745216369628906,1
