key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
2011-09-01 00:21:00.00000028,4.1,2011-09-01 00:21:00+00:00,-73.98241,40.744952,-73.987987,40.749992,1
2011-09-01 00:34:00.000000114,5.3,2011-09-01 00:34:00+00:00,-73.988677,40.736973,-73.982035,40.751453,5
2011-09-01 01:01:09.0000001,7.3,2011-09-01 01:01:09+00:00,-73.996639,40.742626,-73.998759,40.720156,1
2011-09-01 01:11:00.00000046,8.1,2011-09-01 01:11:00+00:00,-73.96999,40.75811,-73.980548,40.780037,1
2011-09-01 02:29:31.0000001,17.7,2011-09-01 02:29:31+00:00,-73.980317,40.760374,-73.879076,40.73446,3
2011-09-01 03:33:09.0000001,25.3,2011-09-01 03:33:09+00:00,-73.959737,40.762625,-73.974205,40.657217,1
2011-09-01 04:27:14.0000001,16.5,2011-09-01 04:27:14+00:00,-73.947797,40.790167,-73.983599,40.711372,1
2011-09-01 07:48:01.0000001,7.3,2011-09-01 07:48:01+00:00,-73.955302,40.776906,-73.973095,40.758102,1
2011-09-01 08:51:11.0000002,12.9,2011-09-01 08:51:11+00:00,-73.955042,40.777683,-73.992297,40.744505,1
2011-09-01 09:25:00.000000187,4.5,2011-09-01 09:25:00+00:00,-74.003572,40.72627,-73.999595,40.734157,1
2011-09-01 09:54:17.0000003,9.3,2011-09-01 09:54:17+00:00,-74.0028,40.7605,-74.007,40.7297,1
2011-09-01 10:21:50.0000004,17.3,2011-09-01 10:21:50+00:00,-74.014302,40.703973,-73.977121,40.760949,1
2011-09-01 10:24:00.000000170,32.5,2011-09-01 10:24:00+00:00,-74.00823,40.704758,-73.870897,40.774042,1
2011-09-01 11:30:14.0000003,6.5,2011-09-01 11:30:14+00:00,-73.959659,40.776916,-73.972118,40.759888,1
2011-09-01 12:26:00.00000096,6.5,2011-09-01 12:26:00+00:00,-73.966512,40.758492,-73.962497,40.772972,1
2011-09-01 12:59:00.0000002,49.8,2011-09-01 12:59:00+00:00,-73.776745,40.645365,-73.95448,40.769637,1
